species	ID	Plot	biomass_across_years	div	sp_plot	species_div_mean	resid_species_div	plotID
AjuRep	28-H1	B1A22	0	60	AjuRep_H1	0.140972222222222	-0.140972222222222	H1
AjuRep	28-H2	B2A03	0	60	AjuRep_H2	0.140972222222222	-0.140972222222222	H2
AjuRep	28-H3	B3A14	0.251944444444444	60	AjuRep_H3	0.140972222222222	0.110972222222222	H3
AjuRep	28-H4	B4A01	0.311944444444444	60	AjuRep_H4	0.140972222222222	0.170972222222222	H4
AjuRep	28-L1	B2A09	0	4	AjuRep_L1	0	0	L1
AjuRep	28-M1	B4A08	0	8	AjuRep_M1	0.20962962962963	-0.20962962962963	M1
AjuRep	28-M2	B3A22	0	16	AjuRep_M2	0.0687037037037037	-0.0687037037037037	M2
AjuRep	28-M3	B3A24	0.412222222222222	16	AjuRep_M3	0.0687037037037037	0.343518518518519	M3
AjuRep	28-M4	B2A18	0	16	AjuRep_M4	0.0687037037037037	-0.0687037037037037	M4
AjuRep	28-M5	B4A06	0	8	AjuRep_M5	0.20962962962963	-0.20962962962963	M5
AjuRep	28-M6	B4A10	0.628888888888889	8	AjuRep_M6	0.20962962962963	0.419259259259259	M6
AjuRep	28-M7	B1A20	0	16	AjuRep_M7	0.0687037037037037	-0.0687037037037037	M7
AjuRep	28-M8	B1A01	0	16	AjuRep_M8	0.0687037037037037	-0.0687037037037037	M8
AjuRep	28-M9	B3A16	0	16	AjuRep_M9	0.0687037037037037	-0.0687037037037037	M9
AloPra	01-H1	B1A22	2.29805555555556	60	AloPra_H1	7.76486111111111	-5.46680555555556	H1
AloPra	01-H2	B2A03	6.84694444444444	60	AloPra_H2	7.76486111111111	-0.917916666666668	H2
AloPra	01-H3	B3A14	3.50388888888889	60	AloPra_H3	7.76486111111111	-4.26097222222222	H3
AloPra	01-H4	B4A01	18.4105555555556	60	AloPra_H4	7.76486111111111	10.6456944444444	H4
AloPra	01-L1	B1A17	44.2405555555556	2	AloPra_L1	44.2405555555556	0	L1
AloPra	01-L2	B3A13	0.872777777777778	4	AloPra_L2	0.872777777777778	0	L2
AloPra	01-M1	B1A06	0.728333333333333	16	AloPra_M1	21.3571666666667	-20.6288333333333	M1
AloPra	01-M2	B2A18	38.8577777777778	16	AloPra_M2	21.3571666666667	17.5006111111111	M2
AloPra	01-M3	B3A04	29.5061111111111	8	AloPra_M3	29.5061111111111	0	M3
AloPra	01-M4	B4A18	66.7977777777778	16	AloPra_M4	21.3571666666667	45.4406111111111	M4
AloPra	01-M5	B3A09	0.288333333333333	16	AloPra_M5	21.3571666666667	-21.0688333333333	M5
AloPra	01-M6	B2A10	0.113611111111111	16	AloPra_M6	21.3571666666667	-21.2435555555556	M6
ArrEla	14-H1	B1A22	130.020555555556	60	ArrEla_H1	66.6973611111111	63.3231944444445	H1
ArrEla	14-H2	B2A03	48.2577777777778	60	ArrEla_H2	66.6973611111111	-18.4395833333333	H2
ArrEla	14-H3	B3A14	52.0277777777778	60	ArrEla_H3	66.6973611111111	-14.6695833333333	H3
ArrEla	14-H4	B4A01	36.4833333333333	60	ArrEla_H4	66.6973611111111	-30.2140277777778	H4
ArrEla	14-L1	B1A19	77.3383333333333	4	ArrEla_L1	95.5463888888889	-18.2080555555555	L1
ArrEla	14-L2	B4A04	113.754444444444	4	ArrEla_L2	95.5463888888889	18.2080555555556	L2
ArrEla	14-M1	B3A24	154.283888888889	16	ArrEla_M1	54.0784722222222	100.205416666667	M1
ArrEla	14-M2	B3A04	36.5388888888889	8	ArrEla_M2	36.5388888888889	0	M2
ArrEla	14-M3	B4A02	53.3427777777778	16	ArrEla_M3	54.0784722222222	-0.735694444444448	M3
ArrEla	14-M4	B2A10	3.32472222222222	16	ArrEla_M4	54.0784722222222	-50.75375	M4
ArrEla	14-M5	B3A09	5.3625	16	ArrEla_M5	54.0784722222222	-48.7159722222222	M5
BelPer	26-H1	B1A22	0.160833333333333	60	BelPer_H1	0.189166666666667	-0.0283333333333333	H1
BelPer	26-H2	B2A03	0.320833333333333	60	BelPer_H2	0.189166666666667	0.131666666666667	H2
BelPer	26-H3	B3A14	0.203333333333333	60	BelPer_H3	0.189166666666667	0.0141666666666667	H3
BelPer	26-H4	B4A01	0.0716666666666667	60	BelPer_H4	0.189166666666667	-0.1175	H4
BelPer	26-L1	B4A14	0.136666666666667	2	BelPer_L1	0.136666666666667	0	L1
BelPer	26-M1	B2A10	0	16	BelPer_M1	0.108981481481481	-0.108981481481481	M1
BelPer	26-M2	B4A06	0.0758333333333333	8	BelPer_M2	0.0758333333333333	0	M2
BelPer	26-M3	B1A20	0.0927777777777778	16	BelPer_M3	0.108981481481481	-0.0162037037037037	M3
BelPer	26-M4	B3A22	0.234166666666667	16	BelPer_M4	0.108981481481481	0.125185185185185	M4
DauCar	32-H1	B1A22	0	60	DauCar_H1	0.0277777777777778	-0.0277777777777778	H1
DauCar	32-H2	B2A03	0.111111111111111	60	DauCar_H2	0.0277777777777778	0.0833333333333333	H2
DauCar	32-H3	B3A14	0	60	DauCar_H3	0.0277777777777778	-0.0277777777777778	H3
DauCar	32-H4	B4A01	0	60	DauCar_H4	0.0277777777777778	-0.0277777777777778	H4
DauCar	32-L1	B4A21	0	2	DauCar_L1	7.09013888888889	-7.09013888888889	L1
DauCar	32-L3	B4A17	14.1802777777778	2	DauCar_L3	7.09013888888889	7.09013888888889	L3
